"","Naplan$ACARA.SML.ID","School Name","ratio","sport_index","teach_edu_index","tech_index","stu_atd","teach_tenure","State","Postcode","School Sector","School Type","Geolocation","ICSEA","Bottom SEA Quarter (%)","Lower Middle SEA Quarter (%)","Upper Middle SEA Quarter (%)","Indigenous Enrolments (%)","Language Background Other Than English - Yes (%)","Naplan$NAPLAN","Median_age_persons","Median_mortgage_repay_monthly","Median_tot_prsnl_inc_weekly","Median_rent_weekly","Median_tot_fam_inc_weekly","Average_num_psns_per_bedroom","Median_tot_hhd_inc_weekly","Average_household_size"
"2395",44424,"Upper Plenty Primary School",13.6666666666667,54,75,74,88,12.02,"VIC","3756","Government","Primary","Inner Regional",998,32,36,22,7,14,518.05921006472,36,1863,772,358,1978,0.9,1544,2.3
"2396",44453,"Carlton North Primary School",14.6842105263158,70,78,62,90,13.88,"VIC","3054","Government","Primary","Major Cities",1147,6,10,22,1,24,512.2492914403,37,2020,865,361,2211,0.9,1743,2.4
"2397",44471,"Maldon Primary School",13.1428571428571,35,77,65,84,11.32,"VIC","3463","Government","Primary","Inner Regional",1035,25,30,22,4,6,527.300195736839,34,2000,691,369,2091,0.9,1727,2.6
"2398",44473,"Woori Yallock Primary School",12.0588235294118,59,68,73,89,11.11,"VIC","3139","Government","Primary","Inner Regional",987,39,39,18,3,2,522.751793809152,36,1863,772,358,1978,0.9,1544,2.3
"2399",46089,"Moyston Primary School",10.25,69,72,70,85,13.23,"VIC","3377","Government","Primary","Inner Regional",965,50,29,17,2,0,510.969116124149,37,2020,865,361,2211,0.9,1743,2.4
"2400",44386,"Buninyong Primary School",11.537037037037,53,67,65,85,10.8,"VIC","3357","Government","Primary","Inner Regional",1045,20,28,32,2,3,520.821261478289,38,1967,688,349,1910,0.9,1401,2.3
"2401",44395,"Marysville Primary School",6.14285714285714,49,71,79,86,10.82,"VIC","3779","Government","Primary","Inner Regional",964,46,38,16,5,13,532.026344843401,38,2144,902,400,2455,0.9,1970,2.5
"2402",44465,"Langley Primary School",1,56,71,69,86,9.94,"VIC","3444","Government","Primary","Inner Regional",NA,NA,NA,NA,0,0,509.128081817194,38,2144,902,400,2455,0.9,1970,2.5
"2403",44476,"Wandong Primary School",13.3714285714286,55,79,60,87,13.5,"VIC","3758","Government","Primary","Inner Regional",996,35,35,21,5,4,519.56748818188,37,2020,865,361,2211,0.9,1743,2.4
"2404",44517,"Cowes Primary School",11.6818181818182,53,70,58,87,15.66,"VIC","3922","Government","Primary","Inner Regional",1020,30,28,23,2,8,507.579766862641,36,2000,863,391,2287,0.9,1787,2.3
"2405",45192,"Bullarto Primary School",5.25,39,82,63,87,12.92,"VIC","3461","Government","Primary","Inner Regional",1070,3,14,47,19,26,503.874675176798,45,1300,648,280,1516,0.7,1194,2.3
"2406",44434,"Lismore Primary School",6.25,48,71,63,87,21.14,"VIC","3324","Government","Primary","Outer Regional",938,67,22,7,4,0,516.088100826423,55,1300,562,270,1317,0.7,1014,2.2
"2407",44436,"Lower Plenty Primary School",15,55,80,79,88,12.15,"VIC","3093","Government","Primary","Major Cities",1085,10,23,27,4,27,519.570162571864,45,1300,648,280,1516,0.7,1194,2.3
"2408",44452,"Specimen Hill Primary School",9.5,55,78,58,85,18.55,"VIC","3555","Government","Primary","Inner Regional",941,56,26,14,9,10,521.546826453838,61,1300,571,310,1314,0.7,1071,2.1
"2409",44539,"Bolwarra Primary School",6.25,54,69,75,87,13.52,"VIC","3305","Government","Primary","Outer Regional",985,37,35,21,2,10,517.151403782869,45,1300,648,280,1516,0.7,1194,2.3
"2410",45829,"Navarre Primary School",2.25,57,74,64,87,14.23,"VIC","3384","Government","Primary","Outer Regional",983,48,32,10,0,20,516.890541419732,55,1300,562,270,1317,0.7,1014,2.2
"2411",44419,"Warracknabeal Primary School",12.4,53,77,69,86,14.75,"VIC","3393","Government","Primary","Outer Regional",939,59,28,11,3,1,515.375538287433,45,1300,648,280,1516,0.7,1194,2.3
"2412",44438,"Moyhu Primary School",4,39,73,67,82,12.34,"VIC","3732","Government","Primary","Inner Regional",984,34,32,29,8,8,553.459262055846,55,1300,562,270,1317,0.7,1014,2.2
"2413",44455,"Natte Yallock Primary School",1.5,54,73,69,89,12.81,"VIC","3465","Government","Primary","Inner Regional",NA,NA,NA,NA,0,33,539.671471492902,48,1343,669,250,1619,0.8,1323,2.4
"2414",44501,"Clifton Hill Primary School",12.1607142857143,80,78,82,90,15.79,"VIC","3068","Government","Primary","Major Cities",1182,1,4,17,1,25,520.668975483923,61,1300,571,310,1314,0.7,1071,2.1
"2415",44626,"Christmas Hills Primary School",2.5,43,73,68,87,15.59,"VIC","3775","Government","Primary","Inner Regional",1051,22,18,36,13,4,517.369483809163,55,1083,529,190,1280,0.7,926,2.1
"2416",44794,"Tallangatta Primary School",13.6666666666667,33,66,63,85,24.38,"VIC","3700","Government","Primary","Outer Regional",995,32,32,25,9,2,513.514405742878,55,1083,529,190,1280,0.7,926,2.1
"2417",45194,"Kialla Central Primary School",12.1666666666667,54,75,61,86,12.38,"VIC","3631","Government","Primary","Inner Regional",1007,35,31,17,4,4,542.56264179208,55,1083,529,190,1280,0.7,926,2.1
